name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,user_score,rating,na_population,eu_population,jp_population,other_population,critic_count,user_count,developer,popularity_score
Samurai Warriors 3,Weii,2009,Action,Ninti,90000,20000,323000,10000,443000,5.6,7.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,26,22,Omega Force,6.379166667
Ben 10 Alien Force: Vilgax Attacks,Weii,2009,Action,D3Publisher,249000,138000,0,40000,427000,6.4,3.9,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,5,6,Papaya Studios,5.036363636
Food Network: Cook or Be Cooked,Weii,2009,Misc,Namco Bandai Games,410000,0,0,30000,440000,5.3,6.9,E,455905328.0,774060012.0,128047000.0,70602184837.0,8,5,Red Fly Studio,5.915384615
Band Hero,DS,2009,Misc,Activision,200000,192000,0,39000,431000,6.6,7.1,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,18,4,Vicarious Visions,6.690909091
Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,LucasArts,190000,183000,0,71000,444000,4.4,5.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,22,16,"LucasArts, Krome Studios",4.778947368
Ghostbusters: The Video Game,PS2,2009,Action,Atari,147000,40000,0,240000,427000,6.3,8.5,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,9,6,War Drum Studios,7.18
NASCAR Kart Racing,Weii,2009,Racing,Electronic Arts,393000,0,0,30000,423000,6.9,8.2,E,455905328.0,774060012.0,128047000.0,70602184837.0,12,9,Electronic Arts,7.457142857
Guitar Hero: Smash Hits,X360,2009,Misc,Activision,232000,151000,0,40000,423000,7.2,5.8,T,455905328.0,774060012.0,128047000.0,70602184837.0,56,18,Beenox,6.859459459
LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,239000,122000,0,61000,422000,7.4,7.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,36,18,TT Fusion,7.5
Marvel Super Hero Squad,DS,2009,Fighting,THQ,359000,20000,0,30000,409000,6.2,2.8,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,4,4,THQ,4.5
Katamari Forever,PS3,2009,Puzzle,Namco Bandai Games,257000,39000,60000,40000,396000,7.4,8.1,E,455905328.0,774060012.0,128047000.0,70602184837.0,51,50,Bandai Namco Games,7.746534653
Six Flags Fun Park,Weii,2009,Misc,Ubisoft,270000,89000,0,40000,399000,4.3,7.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,7,7,7 Studios,5.75
Rune Factory 3: A Fantasy Harvest Moon,DS,2009,Role-Playing,Rising Star Games,256000,30000,102000,20000,408000,7.6,8.7,E,455905328.0,774060012.0,128047000.0,70602184837.0,10,46,Neverland,8.503571429
Spore Hero,Weii,2009,Simulation,Electronic Arts,346000,20000,0,31000,397000,6.1,7.0,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,23,36,Maxis,6.649152542
Ghostbusters: The Video Game,DS,2009,Action,Atari,242000,121000,0,40000,403000,5.4,5.9,E,455905328.0,774060012.0,128047000.0,70602184837.0,17,7,Zen Studios,5.545833333
Sherlock Holmes: The Mystery of the Mummy,DS,2009,Adventure,Focus Home Interactive,61000,302000,0,40000,403000,5.8,3.1,E,455905328.0,774060012.0,128047000.0,70602184837.0,8,9,"Frogwares, Mistic Software",4.370588235
Legends of WrestleMania,X360,2009,Fighting,THQ,196000,151000,0,41000,388000,7.0,6.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,59,23,Yuke's,6.803658537
Final Fantasy Crystal Chronicles: The Crystal Bearers,Weii,2009,Action,Square Enix,213000,71000,80000,30000,394000,6.7,7.4,T,455905328.0,774060012.0,128047000.0,70602184837.0,53,70,Square Enix,7.098373984
Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,LucasArts,177000,169000,0,41000,387000,4.3,6.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,37,19,Krome Studios,4.978571429
Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,319000,0,61000,380000,8.2,8.7,T,455905328.0,774060012.0,128047000.0,70602184837.0,32,132,"Blue Byte, Related Designs",8.602439024
Virtua Tennis 2009,PS3,2009,Sports,Sega,90000,217000,0,61000,368000,6.9,6.2,E,455905328.0,774060012.0,128047000.0,70602184837.0,34,21,Sumo Digital,6.632727273
Need for Speed: Nitro,DS,2009,Racing,Electronic Arts,209000,128000,0,40000,377000,6.9,6.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,7,7,Firebrand Games,6.55
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,130000,41000,192000,30000,393000,6.0,6.7,T,455905328.0,774060012.0,128047000.0,70602184837.0,22,19,CyberConnect2,6.324390244
Trivial Pursuit,X360,2009,Misc,Electronic Arts,121000,211000,0,40000,372000,6.6,6.3,E,455905328.0,774060012.0,128047000.0,70602184837.0,19,9,EA Bright Light,6.503571429
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,127000,199000,0,40000,366000,7.1,6.4,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,30,7,Activision,6.967567568
DiRT 2,Weii,2009,Racing,Codemasters,102000,223000,0,39000,364000,5.1,5.4,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,10,22,Codemasters,5.30625
Virtua Tennis 2009,Weii,2009,Sports,Sega,121000,207000,0,41000,369000,7.2,7.8,E,455905328.0,774060012.0,128047000.0,70602184837.0,33,21,Sumo Digital,7.433333333
Overlord: Dark Legend,Weii,2009,Action,Codemasters,110000,219000,0,40000,369000,6.9,8.0,T,455905328.0,774060012.0,128047000.0,70602184837.0,30,15,Climax Group,7.266666667
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,171000,149000,0,40000,360000,6.2,7.6,M,455905328.0,774060012.0,128047000.0,70602184837.0,61,26,GRIN,6.618390805
Mini Ninjas,Weii,2009,Action,Eidos Interactive,157000,158000,0,40000,355000,7.8,8.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,9,12,Io Interactive,8.028571429
Fragile Dreams: Farewell Ruins of the Moon,Weii,2009,Role-Playing,Rising Star Games,160000,121000,60000,30000,371000,6.8,8.2,T,455905328.0,774060012.0,128047000.0,70602184837.0,41,63,Tri-Crescendo,7.648076923
SAW,PS3,2009,Action,Konami Digital Entertainment,131000,169000,0,61000,361000,5.8,6.5,M,455905328.0,774060012.0,128047000.0,70602184837.0,41,28,Zombie Studios,6.084057971
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,118000,20000,210000,10000,358000,7.2,7.9,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,21,24,Monolith Soft,7.573333333
Bionic Commando,PS3,2009,Platform,Capcom,120000,170000,10000,61000,361000,7.1,7.5,M,455905328.0,774060012.0,128047000.0,70602184837.0,48,62,GRIN,7.325454545
Marvel Super Hero Squad,Weii,2009,Fighting,THQ,301000,29000,0,29000,359000,4.9,6.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,16,14,Blue Tongue Entertainment,5.506666667
Football Manager Handheld 2010,PSP,2009,Sports,Sega,0,261000,0,91000,352000,6.8,7.0,E,455905328.0,774060012.0,128047000.0,70602184837.0,10,7,Sports Interactive,6.882352941
Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,199000,112000,0,51000,362000,7.3,7.2,T,455905328.0,774060012.0,128047000.0,70602184837.0,34,9,Beenox,7.279069767
NHL 2K10,Weii,2009,Sports,Take-Two Interactive,315000,10000,0,30000,355000,7.9,6.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,8,16,Take-Two Interactive,7.1
Teenage Mutant Ninja Turtles: Smash-Up,Weii,2009,Fighting,Ubisoft,335000,0,0,30000,365000,6.8,8.1,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,34,21,Game Arts,7.296363636
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,130000,178000,0,39000,347000,4.9,4.9,T,455905328.0,774060012.0,128047000.0,70602184837.0,50,53,GRIN,4.9
Mini Ninjas,PS3,2009,Action,Eidos Interactive,142000,150000,0,60000,352000,7.2,8.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,37,62,Io Interactive,8.139393939
Mini Ninjas,DS,2009,Action,Eidos Interactive,157000,150000,0,39000,346000,6.1,5.8,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,10,4,Magic Pockets,6.014285714
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,71000,30000,0,250000,351000,7.2,8.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,10,6,Virtuos,7.6125
Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei,140000,30000,149000,20000,339000,6.1,7.1,T,455905328.0,774060012.0,128047000.0,70602184837.0,22,26,Omega Force,6.641666667
NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,305000,0,0,31000,336000,7.4,7.9,E,455905328.0,774060012.0,128047000.0,70602184837.0,17,6,EA Canada,7.530434783
Ninja Blade,X360,2009,Action,Microsoft Game Studios,139000,142000,20000,31000,332000,6.9,6.9,M,455905328.0,774060012.0,128047000.0,70602184837.0,65,55,From Software,6.9
Virtua Tennis 2009,X360,2009,Sports,Sega,119000,179000,0,30000,328000,6.9,6.3,E,455905328.0,774060012.0,128047000.0,70602184837.0,43,15,Sumo Digital,6.744827586
MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,157000,130000,0,40000,327000,7.9,7.5,E,455905328.0,774060012.0,128047000.0,70602184837.0,7,12,SCEA San Diego Studios,7.647368421
Harry Potter and the Half-Blood Prince,PS3,2009,Action,Electronic Arts,151000,120000,0,50000,321000,6.7,7.0,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,35,17,EA Bright Light,6.798076923
Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,170000,108000,10000,30000,318000,7.5,7.4,T,455905328.0,774060012.0,128047000.0,70602184837.0,48,41,Eidos Interactive,7.453932584
Marvel: Ultimate Alliance 2,Weii,2009,Role-Playing,Activision,247000,51000,0,30000,328000,5.0,5.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,8,16,n-Space,5.2
Overlord II,X360,2009,Action,Codemasters,150000,142000,0,30000,322000,7.4,7.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,60,46,Triumph Studios,7.356603774
Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0,279000,0,50000,329000,8.9,8.6,T,455905328.0,774060012.0,128047000.0,70602184837.0,29,1736,Rocksteady Studios,8.604929178
DiRT 2,PSP,2009,Racing,Sony Computer Entertainment,90000,149000,0,81000,320000,5.5,5.8,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,13,10,Codemasters,5.630434783
DJ Hero,PS2,2009,Misc,Activision,101000,20000,0,200000,321000,8.7,6.4,T,455905328.0,774060012.0,128047000.0,70602184837.0,4,5,FreeStyleGames,7.422222222
Tekken 6,PSP,2009,Fighting,Namco Bandai Games,150000,29000,100000,30000,309000,8.4,8.1,T,455905328.0,774060012.0,128047000.0,70602184837.0,39,68,"Namco Bandai Games America, Namco Bandai Games",8.209345794
Overlord II,PS3,2009,Action,Codemasters,108000,147000,0,60000,315000,7.1,7.6,T,455905328.0,774060012.0,128047000.0,70602184837.0,42,24,Triumph Studios,7.281818182
Harry Potter and the Half-Blood Prince,X360,2009,Action,Electronic Arts,171000,108000,0,30000,309000,6.4,6.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,38,11,EA Bright Light,6.467346939
Fuel,X360,2009,Racing,Codemasters,89000,177000,0,41000,307000,6.6,7.1,E,455905328.0,774060012.0,128047000.0,70602184837.0,45,45,Asobo Studio,6.85
SimAnimals,Weii,2009,Simulation,Electronic Arts,143000,131000,0,30000,304000,5.7,2.1,E,455905328.0,774060012.0,128047000.0,70602184837.0,13,35,Electronic Arts,3.075
Monsters vs. Aliens,PS3,2009,Action,Activision,213000,50000,0,40000,303000,6.7,4.4,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,18,4,Beenox,6.281818182
Shaun White Snowboarding: World Stage,Weii,2009,Sports,Ubisoft,244000,30000,0,20000,294000,7.1,8.8,E,455905328.0,774060012.0,128047000.0,70602184837.0,33,30,Ubisoft,7.90952381
Guitar Hero: Van Halen,X360,2009,Misc,Activision,161000,102000,0,30000,293000,5.8,5.8,T,455905328.0,774060012.0,128047000.0,70602184837.0,34,17,"Neversoft Entertainment, Underground Development",5.8
Mini Ninjas,X360,2009,Action,Eidos Interactive,119000,139000,0,30000,288000,7.2,8.4,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,44,38,Io Interactive,7.756097561
Up,X360,2009,Action,THQ,203000,71000,0,30000,304000,6.2,6.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,18,6,Heavy Iron Studios,6.325
Little King's Story,Weii,2009,Strategy,Rising Star Games,138000,100000,20000,20000,278000,8.9,8.9,T,455905328.0,774060012.0,128047000.0,70602184837.0,50,86,Cing,8.9
Dynasty Warriors: Strikeforce,PS3,2009,Action,Tecmo Koei,111000,71000,70000,30000,282000,6.5,7.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,27,15,Omega Force,6.785714286
Wanted: Weapons of Fate,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,141000,101000,10000,40000,292000,6.2,7.0,M,455905328.0,774060012.0,128047000.0,70602184837.0,56,25,GRIN,6.44691358
The Chronicles of Riddick: Assault on Dark Athena,X360,2009,Shooter,Atari,161000,99000,0,30000,290000,8.3,8.2,M,455905328.0,774060012.0,128047000.0,70602184837.0,67,73,Starbreeze,8.247857143
The BIGS 2,Weii,2009,Sports,Take-Two Interactive,257000,10000,0,20000,287000,6.8,8.6,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,5,6,Blue Castle Games,7.781818182
Dead Rising: Chop Till You Drop,Weii,2009,Action,Capcom,151000,69000,49000,20000,289000,6.2,6.4,M,455905328.0,774060012.0,128047000.0,70602184837.0,30,35,TOSE,6.307692308
DeathSmiles,X360,2009,Shooter,Rising Star Games,153000,60000,50000,20000,283000,7.7,8.4,T,455905328.0,774060012.0,128047000.0,70602184837.0,29,47,Cave,8.132894737
SAW,X360,2009,Action,Konami Digital Entertainment,130000,118000,0,30000,278000,5.9,7.4,M,455905328.0,774060012.0,128047000.0,70602184837.0,39,50,Zombie Studios,6.742696629
Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,150000,109000,0,30000,289000,6.8,7.4,T,455905328.0,774060012.0,128047000.0,70602184837.0,20,22,Griptonite Games,7.114285714
Guitar Hero: Van Halen,Weii,2009,Misc,Activision,128000,119000,0,30000,277000,4.9,5.1,T,455905328.0,774060012.0,128047000.0,70602184837.0,12,6,Neversoft Entertainment,4.966666667
Bionic Commando,X360,2009,Platform,Capcom,120000,120000,10000,30000,280000,6.9,7.3,M,455905328.0,774060012.0,128047000.0,70602184837.0,65,87,GRIN,7.128947368
Trivial Pursuit,PS3,2009,Misc,Electronic Arts,120000,109000,0,50000,279000,6.7,7.1,E,455905328.0,774060012.0,128047000.0,70602184837.0,13,7,EA Bright Light,6.84
Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,112000,10000,0,158000,280000,5.4,7.4,T,455905328.0,774060012.0,128047000.0,70602184837.0,4,13,LucasArts,6.929411765
Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Atlus,131000,0,138000,10000,279000,8.0,8.7,M,455905328.0,774060012.0,128047000.0,70602184837.0,26,69,Atlus,8.508421053
Ice Age: Dawn of the Dinosaurs,Weii,2009,Action,Activision,109000,141000,0,30000,280000,7.6,8.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,12,6,Activision,7.8
Guitar Hero: Van Halen,PS3,2009,Misc,Activision,142000,91000,0,40000,273000,6.0,4.6,T,455905328.0,774060012.0,128047000.0,70602184837.0,33,9,Neversoft Entertainment,5.7
Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,Atlus,132000,0,122000,10000,264000,8.3,8.6,T,455905328.0,774060012.0,128047000.0,70602184837.0,28,79,Atlus,8.521495327
Major League Baseball 2K9,Weii,2009,Sports,Take-Two Interactive,236000,0,0,20000,256000,6.0,4.4,E,455905328.0,774060012.0,128047000.0,70602184837.0,5,10,2K Sports,4.933333333
MLB 09: The Show,PSP,2009,Sports,Sony Computer Entertainment,241000,0,0,20000,261000,7.9,6.8,E,455905328.0,774060012.0,128047000.0,70602184837.0,12,7,SCEA San Diego Studios,7.494736842
ExciteBots: Trick Racing,Weii,2009,Racing,Ninti,243000,0,0,20000,263000,7.7,8.8,E,455905328.0,774060012.0,128047000.0,70602184837.0,29,26,Monster Games Inc.,8.22
Final Fantasy Crystal Chronicles: Echoes of Time,Weii,2009,Role-Playing,Square Enix,130000,60000,51000,20000,261000,6.3,5.6,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,29,11,Square Enix,6.1075
Up,PS3,2009,Action,THQ,149000,60000,0,30000,239000,6.5,6.5,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,5,4,Heavy Iron Studios,6.5
Indiana Jones and the Staff of Kings,PSP,2009,Action,Activision,108000,91000,0,51000,250000,6.3,7.8,T,455905328.0,774060012.0,128047000.0,70602184837.0,10,17,Amaze,7.244444444
Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,158000,70000,0,20000,248000,4.9,6.7,T,455905328.0,774060012.0,128047000.0,70602184837.0,5,11,LucasArts,6.1375
X-Men Origins: Wolverine,Weii,2009,Action,Activision,191000,41000,0,20000,252000,5.3,6.2,T,455905328.0,774060012.0,128047000.0,70602184837.0,8,10,Amaze Entertainment,5.8
Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,Nippon Ichi Software,99000,10000,121000,20000,250000,8.2,7.0,T,455905328.0,774060012.0,128047000.0,70602184837.0,33,47,Nippon Ichi Software,7.495
The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games,118000,90000,0,40000,248000,7.9,7.8,M,455905328.0,774060012.0,128047000.0,70602184837.0,45,40,Starbreeze,7.852941176
Fuel,PS3,2009,Racing,Codemasters,80000,109000,0,40000,229000,6.6,7.3,E,455905328.0,774060012.0,128047000.0,70602184837.0,44,36,Asobo Studio,6.915
NBA Live 10,PSP,2009,Sports,Electronic Arts,209000,0,10000,20000,239000,6.4,4.2,E,455905328.0,774060012.0,128047000.0,70602184837.0,4,10,EA Canada,4.828571429
Bakugan: Battle Brawlers,X360,2009,Action,Activision,199000,20000,0,20000,239000,6.1,5.2,E,455905328.0,774060012.0,128047000.0,70602184837.0,16,9,Now Production,5.776
Dynasty Warriors 6 Empires,X360,2009,Action,Tecmo Koei,157000,10000,40000,20000,227000,5.9,7.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,24,28,Omega Force,6.653846154
G.I. Joe: The Rise of Cobra,X360,2009,Action,Electronic Arts,172000,50000,0,20000,242000,4.2,4.6,T,455905328.0,774060012.0,128047000.0,70602184837.0,59,22,Double Helix Games,4.308641975
Afro Samurai,X360,2009,Action,Atari,162000,49000,0,20000,231000,6.5,6.1,M,455905328.0,774060012.0,128047000.0,70602184837.0,70,57,"Namco Bandai Games America, Namco Bandai Games",6.320472441
Broken Sword: Shadow of the Templars - The Director's Cut,Weii,2009,Adventure,Ubisoft,112000,101000,0,20000,233000,7.4,8.0,T,455905328.0,774060012.0,128047000.0,70602184837.0,29,14,Revolution Software,7.595348837
Bakugan: Battle Brawlers,PS3,2009,Action,Activision,188000,30000,0,20000,238000,6.2,8.0,E,455905328.0,774060012.0,128047000.0,70602184837.0,10,5,Now Production,6.8
Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios,210000,10000,0,20000,240000,6.6,6.6,E,455905328.0,774060012.0,128047000.0,70602184837.0,7,4,Sumo Digital,6.6
Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,128000,60000,20000,20000,228000,5.9,5.7,T,455905328.0,774060012.0,128047000.0,70602184837.0,18,12,Omega Force,5.82
G-Force,PS3,2009,Action,Disney Interactive Studios,128000,60000,0,31000,219000,6.9,7.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,22,7,Eurocom Entertainment Software,7.093103448
Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,Crave Entertainment,198000,0,0,20000,218000,8.1,8.0,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,16,8,Farsight Studios,8.066666667
Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,110000,10000,0,99000,219000,7.0,8.2,T,455905328.0,774060012.0,128047000.0,70602184837.0,6,6,Beenox,7.6
Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,81000,0,131000,10000,222000,7.9,8.1,T,455905328.0,774060012.0,128047000.0,70602184837.0,30,47,ITL,8.022077922
Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,D3Publisher,112000,89000,0,20000,221000,6.2,8.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,9,4,Papaya Studios,6.815384615
Deadly Creatures,Weii,2009,Action,THQ,79000,118000,0,20000,217000,7.1,8.8,T,455905328.0,774060012.0,128047000.0,70602184837.0,45,36,Rainbow Studios,7.855555556
Hannah Montana: The Movie,X360,2009,Adventure,Disney Interactive Studios,141000,50000,0,20000,211000,2.5,3.7,E,455905328.0,774060012.0,128047000.0,70602184837.0,4,48,n-Space,3.607692308
The BIGS 2,X360,2009,Sports,Take-Two Interactive,192000,10000,0,20000,222000,7.6,6.3,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,31,35,Blue Castle Games,6.910606061
50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,118000,71000,0,20000,209000,7.1,6.4,M,455905328.0,774060012.0,128047000.0,70602184837.0,54,64,Swordfish Studios,6.720338983
Cursed Mountain,Weii,2009,Adventure,Deep Silver,90000,100000,0,20000,210000,6.7,7.6,M,455905328.0,774060012.0,128047000.0,70602184837.0,51,33,"Deep Silver, Sproing Interactive Media, Sproing",7.053571429
A Boy and His Blob,Weii,2009,Platform,Majesco Entertainment,180000,10000,0,10000,200000,8.1,8.9,E,455905328.0,774060012.0,128047000.0,70602184837.0,43,35,WayForward,8.458974359
G.I. Joe: The Rise of Cobra,PS3,2009,Action,Electronic Arts,111000,70000,0,30000,211000,4.3,4.9,T,455905328.0,774060012.0,128047000.0,70602184837.0,32,13,Double Helix Games,4.473333333
Planet 51,Weii,2009,Action,Sega,168000,10000,0,20000,198000,5.2,5.8,E,455905328.0,774060012.0,128047000.0,70602184837.0,6,4,Pyro Studios,5.44
Dragon Ball: Revenge of King Piccolo,Weii,2009,Action,Namco Bandai Games,118000,30000,30000,20000,198000,6.6,7.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,25,15,Media Vision,6.825
Infinite Space,DS,2009,Role-Playing,Sega,61000,51000,71000,10000,193000,7.5,9.0,T,455905328.0,774060012.0,128047000.0,70602184837.0,46,61,PlatinumGames,8.355140187
Marvel: Ultimate Alliance 2,DS,2009,Role-Playing,Activision,160000,30000,0,20000,210000,6.5,6.6,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,7,9,n-Space,6.55625
Afro Samurai,PS3,2009,Action,Atari,118000,50000,0,30000,198000,6.4,6.1,M,455905328.0,774060012.0,128047000.0,70602184837.0,52,27,"Namco Bandai Games America, Namco Bandai Games",6.297468354
X-Men Origins: Wolverine,DS,2009,Action,Activision,152000,30000,0,20000,202000,5.4,8.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,8,8,Griptonite Games,6.8
Spectrobes: Origins,Weii,2009,Role-Playing,Disney Interactive Studios,161000,20000,0,10000,191000,7.1,8.3,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,22,16,Genki,7.605263158
Spore Hero Arena,DS,2009,Simulation,Electronic Arts,177000,0,0,10000,187000,5.0,2.6,E,455905328.0,774060012.0,128047000.0,70602184837.0,11,8,Full Fat,3.989473684
X-Men Origins: Wolverine,PSP,2009,Action,Activision,129000,30000,0,30000,189000,6.1,7.5,T,455905328.0,774060012.0,128047000.0,70602184837.0,6,12,Griptonite Games,7.033333333
Space Invaders Extreme 2,DS,2009,Shooter,Square Enix,168000,10000,0,10000,188000,8.3,7.2,E,455905328.0,774060012.0,128047000.0,70602184837.0,38,8,Taito Corporation,8.108695652
Dawn of Discovery,Weii,2009,Simulation,Ubisoft,120000,61000,0,20000,201000,8.0,8.6,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,24,15,Keen Games,8.230769231
Arc Rise Fantasia,Weii,2009,Role-Playing,Marvelous Interactive,120000,0,59000,10000,189000,6.4,8.0,T,455905328.0,774060012.0,128047000.0,70602184837.0,26,43,"Image Epoch, Imageepoch",7.397101449
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,100000,61000,10000,30000,201000,7.1,7.1,M,455905328.0,774060012.0,128047000.0,70602184837.0,37,57,Swordfish Studios,7.1
Risen,X360,2009,Role-Playing,Deep Silver,70000,109000,0,10000,189000,6.0,6.4,M,455905328.0,774060012.0,128047000.0,70602184837.0,37,77,Piranha Bytes,6.270175439
Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,Activision,133000,30000,0,20000,183000,6.7,7.2,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,23,7,Activision,6.816666667
The Munchables,Weii,2009,Action,Namco Bandai Games,171000,0,0,10000,181000,7.2,8.2,E,455905328.0,774060012.0,128047000.0,70602184837.0,33,5,Now Production,7.331578947
Ghostbusters: The Video Game,PSP,2009,Action,Atari,159000,10000,0,20000,189000,5.5,4.7,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,13,13,Red Fly Studio,5.1
MotoGP,Weii,2009,Racing,Capcom,51000,110000,0,20000,181000,4.4,5.5,E,455905328.0,774060012.0,128047000.0,70602184837.0,10,11,Milestone S.r.l,4.976190476
Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games,82000,10000,71000,10000,173000,8.5,7.8,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,41,38,Opus,8.163291139
Borderlands,PC,2009,Shooter,Take-Two Interactive,10000,139000,0,30000,179000,8.1,7.8,M,455905328.0,774060012.0,128047000.0,70602184837.0,37,1363,Gearbox Software,7.807928571
Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software,71000,49000,30000,20000,170000,6.1,7.3,T,455905328.0,774060012.0,128047000.0,70602184837.0,25,28,"Gust, Idea Factory",6.733962264
Naruto Shippuden: Dragon Blade Chronicles,Weii,2009,Action,505 Games,109000,10000,50000,10000,179000,3.8,3.0,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,14,12,"Eighting, Takara Tomy",3.430769231
Race Pro,X360,2009,Racing,Atari,59000,91000,0,20000,170000,7.1,6.9,E,455905328.0,774060012.0,128047000.0,70602184837.0,54,60,SimBin,6.994736842
Stormrise,PS3,2009,Strategy,Sega,129000,20000,0,20000,169000,5.1,5.4,M,455905328.0,774060012.0,128047000.0,70602184837.0,28,20,Creative Assembly,5.225
Monsters vs. Aliens,X360,2009,Action,Activision,122000,30000,0,10000,162000,6.3,6.5,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,31,7,Beenox,6.336842105
G-Force,X360,2009,Action,Disney Interactive Studios,110000,50000,0,10000,170000,6.8,6.9,E10+,455905328.0,774060012.0,128047000.0,70602184837.0,33,9,Eurocom Entertainment Software,6.821428571
Blood Bowl,X360,2009,Sports,Focus Home Interactive,131000,20000,0,10000,161000,6.1,5.2,T,455905328.0,774060012.0,128047000.0,70602184837.0,28,19,Cyanide,5.736170213
