name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,popularity_score,global_sales
Resonance of Fate,PS3,2010,Role-Playing,Sega,199000,210000,236000,78000,7.1,42,8.0,136,Tri-Ace,T,7.787640449,723000
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,170000,410000,0,149000,5.6,24,7.0,19,Eurocom Entertainment Software,T,6.218604651,729000
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,218000,373000,0,142000,7.9,30,6.5,7,EA Salt Lake,E,7.635135135,733000
Classic NES Series: Donkey Kong,GBA,2004,Platform,Ninti,405000,150000,168000,10000,5.5,15,4.8,4,Ninti,E,5.352631579,733000
Harvest Moon: Animal Parade,Weii,2008,Simulation,Rising Star Games,581000,79000,20000,49000,7.5,10,8.9,20,Natsume,E,8.433333333,729000
WWE SmackDown vs. Raw 2010,Weii,2009,Fighting,THQ,487000,168000,0,60000,7.9,11,7.8,9,Yuke's,T,7.855,715000
Style Savvy: Trendsetters,3DS,2012,Simulation,Ninti,160000,20000,527000,10000,7.6,5,8.0,15,syn Sophia,E,7.9,717000
Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,355000,295000,20000,59000,7.9,50,6.4,268,Square Enix,T,6.635849057,729000
Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,548000,157000,0,30000,8.0,30,8.7,32,Oddworld Inhabitants,T,8.361290323,735000
Persona 4: Arena,PS3,2012,Fighting,Atlus,298000,110000,238000,71000,8.5,47,7.7,180,Arc System Works,T,7.865638767,717000
Brink,PS3,2011,Shooter,Bethesda Softworks,287000,325000,10000,118000,7.3,39,5.8,168,Splash Damage,T,6.082608696,740000
NHL 11,X360,2010,Sports,Electronic Arts,602000,69000,0,51000,8.8,49,7.7,71,Electronic Arts,E10+,8.149166667,722000
NCAA Football 07,X360,2006,Sports,Electronic Arts,660000,0,0,59000,8.0,43,6.8,20,EA Sports,E,7.619047619,719000
Full Spectrum Warrior,XB,2004,Strategy,THQ,539000,162000,0,30000,8.3,67,8.8,27,Pandemic Studios,M,8.443617021,731000
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,262000,354000,0,122000,7.0,70,7.1,87,TT Games,E10+,7.055414013,738000
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,476000,20000,169000,79000,8.6,55,8.9,86,Namco,E,8.782978723,744000
Just Dance 2015,WeiiU,2014,Misc,Ubisoft,381000,289000,0,60000,7.6,6,6.6,26,Ubisoft,E10+,6.7875,730000
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,236000,364000,0,120000,8.0,53,7.2,65,Traveller's Tales,E10+,7.559322034,720000
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,271000,238000,140000,79000,7.4,23,7.0,83,"CyberConnect2, Racjin",T,7.086792453,728000
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,365000,286000,0,90000,6.4,17,8.7,13,Dearsoft,E,7.396666667,741000
James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,564000,152000,0,20000,7.5,16,6.8,25,Electronic Arts,T,7.073170732,736000
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,430000,10000,254000,41000,6.4,15,7.1,22,TOSE,E,6.816216216,735000
Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,Ubisoft,520000,190000,0,10000,7.2,13,7.4,12,Ubisoft,E10+,7.296,720000
Ultimate Spider-Man,PS2,2005,Action,Activision,612000,20000,0,102000,7.4,52,7.9,54,Treyarch,T,7.654716981,734000
Monopoly Streets,Weii,2010,Misc,Electronic Arts,231000,425000,0,81000,6.5,9,5.3,5,Electronic Arts,E,6.071428571,737000
Total War: Rome II,PC,2013,Strategy,Sega,121000,525000,0,70000,7.5,71,4.1,3742,Creative Assembly,T,4.16330973,716000
NBA Live 08,PS2,2007,Sports,Electronic Arts,594000,20000,10000,100000,6.7,10,6.5,9,EA Canada,E,6.605263158,724000
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,279000,148000,216000,70000,7.4,45,6.6,155,"Square Enix, Tri-Ace",T,6.78,713000
Dead to Rights,XB,2002,Shooter,Electronic Arts,534000,168000,0,29000,7.2,39,9.1,16,Namco,M,7.752727273,731000
Indiana Jones and the Staff of Kings,Weii,2009,Action,Activision,359000,288000,0,71000,5.5,32,7.1,28,Artificial Mind and Movement,T,6.246666667,718000
Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,596000,20000,0,98000,7.8,33,6.1,8,EA Redwood Shores,E,7.468292683,714000
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,334000,71000,272000,41000,8.3,56,8.3,169,Atlus,M,8.3,718000
X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,407000,271000,0,49000,7.2,12,8.3,18,Paradox Development,T,7.86,727000
Kirby: Canvas Curse,DS,2005,Platform,Ninti,363000,0,324000,30000,8.7,48,8.1,87,HAL Labs,E,8.313333333,717000
Madden NFL 10,Weii,2009,Sports,Electronic Arts,612000,40000,0,60000,7.8,23,7.1,24,EA Tiburon,E,7.442553191,712000
MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,673000,0,0,61000,9.2,27,8.1,61,SCEA San Diego Studios,E,8.4375,734000
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,463000,187000,10000,70000,7.4,16,6.5,161,2K Australia,M,6.581355932,730000
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,515000,192000,0,10000,8.2,20,8.8,11,Realism Ltd,E,8.412903226,717000
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,210000,464000,0,50000,9.4,32,9.3,10665,CD Projekt Red Studio,M,9.300299149,724000
F1 2011,X360,2011,Racing,Codemasters,111000,502000,10000,91000,8.3,61,7.2,54,Codemasters,E,7.783478261,714000
Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,51000,40000,615000,10000,6.6,10,8.4,37,Bandai,T,8.017021277,716000
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,647000,0,0,60000,9.1,33,8.3,107,SCEA,E,8.488571429,707000
MX vs. ATV Reflex,X360,2009,Racing,THQ,520000,142000,0,60000,7.6,47,6.5,30,Rainbow Studios,E,7.171428571,722000
Blur,PS3,2010,Racing,Activision,218000,356000,20000,121000,8.1,58,8.2,86,Bizarre Creations,E10+,8.159722222,715000
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,193000,523000,0,0,8.8,46,8.2,1467,EA DICE,M,8.218241904,716000
DiRT 3,X360,2011,Racing,Codemasters,232000,404000,10000,81000,8.7,81,7.1,166,Codemasters,T,7.624696356,727000
The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,452000,237000,0,30000,8.0,17,8.1,18,Stormfront Studios,T,8.051428571,719000
Madden NFL 2003,XB,2002,Sports,Electronic Arts,657000,20000,0,30000,9.2,16,8.4,16,EA Tiburon,E,8.8,707000
Skate,X360,2007,Sports,Electronic Arts,617000,31000,0,61000,8.6,59,8.2,137,EA Black Box,T,8.320408163,709000
XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,272000,365000,0,81000,8.7,57,8.1,2235,Firaxis Games,M,8.114921466,718000
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,226000,296000,0,183000,6.1,4,7.1,23,High Voltage Software,E10+,6.951851852,705000
Virtua Fighter 4: Evolution,PS2,2003,Fighting,Sega,343000,267000,0,90000,9.2,30,9.0,48,Sega,T,9.076923077,700000
Crysis,PC,2007,Shooter,Electronic Arts,0,698000,0,20000,9.0,56,8.0,1970,Crytek,M,8.027640671,718000
Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,227000,152000,292000,51000,3.9,10,7.0,47,Capcom,M,6.456140351,722000
The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,617000,40000,0,60000,6.6,8,4.0,5,Full Fat,E,5.6,717000
Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari,542000,141000,0,20000,7.4,30,7.7,23,"Pipeworks Software, Inc.",T,7.530188679,703000
Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,349000,274000,0,90000,8.5,41,8.7,315,KCET,M,8.676966292,713000
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,346000,269000,0,88000,5.0,6,6.3,5,Pacific Coast Power & Light,E,5.590909091,703000
Madden NFL 08,PSP,2007,Sports,Electronic Arts,606000,40000,0,70000,7.6,10,6.9,8,EA Tiburon,E,7.288888889,716000
Madden NFL 09,PSP,2008,Sports,Electronic Arts,640000,0,0,60000,6.8,8,6.5,4,EA Tiburon,E,6.7,700000
NBA Live 09,X360,2008,Sports,Electronic Arts,501000,141000,0,69000,7.8,32,7.3,14,EA Canada,E,7.647826087,711000
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,240000,269000,90000,99000,7.3,54,7.7,117,Dimps Corporation,T,7.573684211,698000
Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,178000,69000,406000,39000,5.9,31,7.4,49,"Koei, Omega Force",T,6.81875,692000
NCAA Football 09,X360,2008,Sports,Electronic Arts,654000,0,0,49000,8.4,24,7.6,26,EA Tiburon,E,7.984,703000
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,535000,149000,0,30000,7.8,41,7.8,16,"id Software, Nerve Software",M,7.8,714000
SSX,X360,2012,Sports,Electronic Arts,372000,264000,0,60000,8.2,65,6.5,186,EA Canada,E,6.940239044,696000
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Weii,2007,Role-Playing,Square Enix,182000,10000,491000,20000,6.6,43,5.9,21,"Eighting, Genius Sonority Inc.",T,6.3703125,703000
Tony Hawk's Underground,GC,2003,Sports,Activision,541000,142000,0,20000,9.0,19,8.7,24,Neversoft Entertainment,T,8.83255814,703000
Spider-Man 2,PSP,2005,Action,Activision,353000,210000,0,137000,6.8,43,6.8,8,Vicarious Visions,T,6.8,700000
NCAA Football 08,X360,2007,Sports,Electronic Arts,651000,0,0,51000,8.0,30,7.7,44,EA Sports,E,7.821621622,702000
Skylanders: Trap Team,WeiiU,2014,Action,Activision,388000,256000,0,60000,8.5,4,7.1,18,Toys for Bob,E10+,7.354545455,704000
Star Wars: Obi-Wan,XB,2001,Action,Activision,527000,158000,0,20000,5.8,28,6.0,14,LucasArts,T,5.866666667,705000
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,232000,141000,295000,39000,7.9,51,8.4,79,Capcom,T,8.203846154,707000
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,341000,268000,0,90000,7.2,33,8.2,19,Namco,T,7.565384615,699000
Catherine,PS3,2011,Adventure,Deep Silver,301000,139000,203000,59000,7.9,61,8.2,372,Atlus,M,8.157736721,702000
SplashDown,PS2,2001,Racing,Atari,344000,268000,0,90000,8.4,22,8.3,11,Rainbow Studios,E,8.366666667,702000
Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,485000,188000,0,29000,9.0,84,8.5,113,BioWare,M,8.71319797,702000
Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,338000,180000,122000,61000,6.8,60,6.9,158,Tri-Ace,T,6.872477064,701000
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,159000,427000,10000,112000,7.9,61,7.4,91,TT Games,E10+,7.600657895,708000
NHL 12,X360,2011,Sports,Electronic Arts,558000,99000,0,51000,8.5,56,7.0,72,Electronic Arts,E10+,7.65625,708000
Advance Wars,GBA,2001,Strategy,Ninti,499000,187000,0,10000,9.1,28,8.9,95,Intelligent Systems,E,8.945528455,696000
NASCAR 2001,PS2,2000,Racing,Electronic Arts,336000,265000,0,91000,6.6,16,6.7,9,EA Sports,E,6.636,692000
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,519000,0,122000,50000,6.6,35,6.3,16,"SCEA, Sims",E,6.505882353,691000
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,161000,131000,357000,39000,5.8,16,8.0,49,Bandai,T,7.458461538,688000
MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,644000,0,0,50000,8.4,33,8.6,76,SCEA San Diego Studios,E,8.539449541,694000
TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,345000,267000,0,89000,8.9,33,8.9,127,Free Radical Design,T,8.9,701000
Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,413000,223000,0,60000,4.4,18,3.3,25,Kalypso,T,3.760465116,696000
Driver: San Francisco,X360,2011,Racing,Ubisoft,248000,368000,0,69000,7.9,63,7.7,130,Ubisoft Reflections,T,7.765284974,685000
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,Ninti,371000,142000,168000,10000,7.4,8,7.6,39,Ninti,E,7.565957447,691000
James Bond 007: Blood Stone,PS3,2010,Shooter,Activision,183000,362000,20000,130000,6.4,49,7.5,45,Bizarre Creations,T,6.926595745,695000
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,262000,0,256000,173000,6.5,19,7.4,27,Kojima Productions,T,7.02826087,691000
LEGO Rock Band,Weii,2009,Misc,Warner Bros. Interactive Entertainment,415000,216000,0,60000,6.9,15,6.8,6,TT Fusion,E10+,6.871428571,691000
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,547000,130000,0,20000,9.0,37,7.4,34,Bungie Software,M,8.233802817,697000
Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,568000,20000,0,92000,7.8,41,8.5,74,Midway Studios - Los Angeles,M,8.250434783,680000
MotionSports,X360,2010,Sports,Ubisoft,373000,250000,0,61000,4.0,30,4.4,9,Ubisoft Milan,T,4.092307692,684000
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,633000,0,0,51000,6.9,22,8.2,7,Rainbow Studios,E,7.213793103,684000
Marrison Pinball Land,GBA,2004,Misc,Ninti,494000,177000,0,10000,6.1,35,4.9,11,Fuse Games Limited,E,5.813043478,681000
Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,539000,142000,0,20000,6.4,16,6.3,15,Pyramid,T,6.351612903,701000
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,393000,229000,0,60000,7.7,65,7.4,438,PopCap,E10+,7.438767396,682000
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,460000,171000,0,71000,7.5,18,5.9,175,Ghost Games,E10+,6.049222798,702000
The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,308000,303000,0,69000,4.9,12,3.3,4,Full Fat,E,4.5,680000
Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,535000,140000,0,20000,7.6,14,8.2,27,Eurocom Entertainment Software,E,7.995121951,695000
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,186000,358000,10000,122000,7.6,49,7.7,120,Ubisoft Montreal,T,7.671005917,676000
The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,530000,141000,0,20000,8.5,23,8.6,21,Hypnos Entertainment,T,8.547727273,691000
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,276000,319000,0,89000,7.7,56,6.1,173,The Sims Studio,T,6.491266376,684000
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,169000,388000,0,132000,8.2,37,7.6,55,2K Czech,E,7.841304348,689000
Shark Tale,GBA,2004,Action,Activision,488000,181000,0,10000,6.3,8,8.9,4,Vicarious Visions,E,7.166666667,679000
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,342000,251000,0,99000,8.0,28,7.3,20,Gaijin Entertainment,T,7.708333333,692000
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,621000,40000,0,20000,9.0,22,8.9,24,Electronic Arts,E,8.947826087,681000
MX vs. ATV Untamed,X360,2007,Racing,THQ,539000,79000,0,61000,6.9,43,7.0,17,Rainbow Studios,E,6.928333333,679000
The Last Remnant,X360,2008,Role-Playing,Square Enix,251000,200000,183000,61000,6.7,49,6.8,122,Square Enix,M,6.771345029,695000
NCAA Football 2005,XB,2004,Sports,Electronic Arts,618000,20000,0,30000,8.9,29,7.9,12,EA Sports,E,8.607317073,668000
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,518000,80000,10000,81000,8.6,46,8.7,172,Sanzaru Games,E10+,8.678899083,689000
Sniper Elite 3,PS4,2014,Shooter,505 Games,238000,339000,0,110000,6.7,41,7.0,178,Rebellion,M,6.943835616,687000
Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,570000,20000,0,91000,8.7,46,8.5,111,Ubisoft Montreal,M,8.558598726,681000
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,208000,110000,281000,80000,8.1,42,8.4,12,Clap Hanz,E,8.166666667,679000
Iron Man,PS3,2008,Action,Sega,323000,248000,0,110000,4.3,27,6.2,45,Secret Level,T,5.4875,681000
FIFA Soccer 06,XB,2005,Sports,Electronic Arts,286000,373000,0,10000,8.1,39,7.5,22,EA Canada,E,7.883606557,669000
Fight Night 2004,XB,2004,Fighting,Electronic Arts,504000,150000,0,20000,8.5,47,8.6,20,EA Sports,T,8.529850746,674000
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,229000,184000,203000,61000,7.7,24,9.0,81,CyberConnect2,T,8.702857143,677000
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,343000,283000,0,60000,7.9,18,7.9,397,MachineGames,M,7.9,686000
Cars: Mater-National Championship,DS,2007,Racing,THQ,628000,0,0,50000,6.9,7,6.7,5,Rainbow Studios,E,6.816666667,678000
Kirby's Dream Collection: Special Edition,Weii,2012,Action,Ninti,326000,0,333000,20000,8.2,6,8.6,37,HAL Labs,E10+,8.544186047,679000
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,490000,160000,0,20000,8.5,38,8.6,33,Nerve Software,M,8.546478873,670000
RIFT,PC,2011,Role-Playing,Unknown,446000,159000,0,69000,8.6,59,7.2,561,Trion Worlds,T,7.333225806,674000
Spider-Man 3,PS3,2007,Platform,Activision,256000,293000,20000,111000,5.9,33,7.1,40,Treyarch,T,6.557534247,680000
Mass Effect,PC,2008,Role-Playing,Electronic Arts,0,578000,0,82000,8.8,45,8.5,2386,"BioWare, Demiurge Studios",M,8.50555327,660000
The Evil Within,XOne,2014,Action,Bethesda Softworks,345000,254000,0,60000,7.9,24,7.2,430,Tango Gameworks,M,7.237004405,659000
Star Wars: Republic Commando,XB,2005,Shooter,Activision,471000,167000,0,20000,7.9,54,8.9,89,LucasArts,T,8.522377622,658000
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,243000,316000,10000,110000,7.0,31,7.0,98,TT Games,E10+,7.0,679000
Terraria,X360,2013,Action,505 Games,344000,275000,0,60000,8.0,39,7.2,139,Engine Software,T,7.375280899,679000
Red Steel,Weii,2006,Shooter,Ubisoft,541000,30000,40000,49000,6.3,54,6.8,121,Ubisoft Paris,T,6.645714286,660000
Unreal Tournament III,PS3,2007,Shooter,Midway Games,331000,226000,0,99000,8.6,42,7.8,127,Epic Games,M,7.998816568,656000
Fossil Fighters: Champions,DS,2010,Role-Playing,Ninti,315000,0,334000,20000,6.9,8,7.1,11,"RED Entertainment, Artdink",E,7.015789474,669000
The Sims 3,DS,2010,Simulation,Electronic Arts,385000,218000,0,61000,7.3,9,6.4,20,Exient Entertainment,E,6.679310345,664000
NFL Street,XB,2004,Sports,Electronic Arts,482000,149000,0,20000,7.9,38,8.8,9,EA Tiburon,E,8.072340426,651000
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,221000,10000,426000,20000,7.8,41,7.2,25,Square Enix,E10+,7.572727273,677000
Bakugan: Battle Brawlers,Weii,2009,Action,Activision,591000,29000,0,49000,6.2,12,7.3,11,Now Production,E,6.726086957,669000
Blazing Angels: Squadrons of WWeii,PS3,2006,Simulation,Ubisoft,356000,218000,0,102000,6.7,26,6.8,9,Ubisoft,T,6.725714286,676000
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,332000,199000,0,141000,7.8,13,8.2,21,Yuke's,T,8.047058824,672000
F1 2015,PS4,2015,Racing,Codemasters,92000,457000,30000,101000,6.5,46,6.3,43,Codemasters,E,6.403370787,680000
Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,553000,20000,0,89000,6.4,6,6.7,17,Page 44 Studios,T,6.62173913,662000
The Darkness,PS3,2007,Shooter,Take-Two Interactive,197000,328000,0,130000,8.0,35,7.8,107,Starbreeze,M,7.849295775,655000
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,318000,253000,0,81000,6.1,21,8.0,9,989 Sports,E,6.67,652000
Darkstone,PS,2001,Role-Playing,Electronic Arts,375000,255000,0,40000,5.9,10,8.1,12,Delphine Software International,T,7.1,670000
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,314000,253000,0,79000,7.4,13,7.9,27,NuFX,E,7.7375,646000
Thrillville,PS2,2006,Strategy,Atari,555000,20000,0,91000,6.8,32,2.8,52,Frontier Developments,E10+,4.323809524,666000
Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,417000,168000,10000,50000,8.3,70,7.8,237,Mercury Steam,M,7.914006515,645000
NHL 10,X360,2009,Sports,Electronic Arts,518000,102000,0,59000,8.8,52,8.4,71,EA Canada,E10+,8.569105691,679000
Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,316000,254000,0,81000,7.9,30,8.8,20,Capcom,T,8.26,651000
NHL 13,X360,2012,Sports,Electronic Arts,500000,100000,0,49000,8.4,44,6.5,86,Electronic Arts,E10+,7.143076923,649000
Napoleon: Total War,PC,2010,Strategy,Sega,20000,526000,0,121000,7.9,56,8.0,515,Creative Assembly,T,7.990192644,667000
Rayman Legends,WeiiU,2013,Platform,Ubisoft,250000,324000,30000,51000,9.1,35,8.6,465,Ubisoft Montpellier,E10+,8.635,655000
The Sims: Bustin' Out,GC,2003,Simulation,Electronic Arts,423000,201000,0,30000,8.2,30,9.0,15,Maxis,T,8.466666667,654000
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,289000,300000,0,69000,9.6,68,8.5,7322,Irrational Games,M,8.510121786,658000
Ratatouille,PSP,2007,Action,THQ,217000,270000,0,161000,6.3,7,7.2,7,Locomotive Games,E,6.75,648000
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,272000,203000,108000,81000,6.6,37,7.0,199,Grasshopper Manufacture,M,6.937288136,664000
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,327000,222000,10000,99000,7.7,33,6.7,42,Ubisoft Shanghai,T,7.14,658000
Suikoden IV,PS2,2004,Role-Playing,Konami Digital Entertainment,172000,130000,302000,50000,6.3,44,7.2,47,KCET,T,6.764835165,654000
Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,30000,0,631000,0,7.0,30,8.0,35,"Shift, Bandai Namco Games",T,7.538461538,661000
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0,188000,422000,51000,7.1,35,7.9,61,Omega Force,T,7.608333333,661000
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,496000,142000,0,20000,8.9,64,7.9,69,Gearbox Software,M,8.381203008,658000
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,380000,222000,0,59000,7.1,17,6.7,44,TT Games,E10+,6.81147541,661000
Kung Fu Panda,PS2,2008,Action,Activision,238000,0,0,414000,7.3,6,8.5,5,Xpec,E10+,7.845454545,652000
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,151000,101000,314000,79000,7.3,39,8.3,265,"Dimps Corporation, SCE Japan Studio",T,8.171710526,645000
Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,312000,235000,10000,101000,6.3,30,6.3,26,Ubisoft Montreal,T,6.3,658000
Radiata Stories,PS2,2005,Role-Playing,Square Enix,179000,141000,294000,50000,7.3,36,9.1,54,Tri-Ace,T,8.38,664000
F-Zero GX,GC,2003,Racing,Ninti,403000,109000,119000,20000,8.8,50,8.5,161,Amusement Vision,T,8.571090047,651000
Disney's Chicken Little,PS2,2005,Platform,Disney Interactive Studios,323000,251000,0,80000,5.9,20,9.0,7,Avalanche Software,E10+,6.703703704,654000
Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,325000,250000,0,71000,7.7,32,7.4,25,"Krome Studios, Screenlife Games",T,7.568421053,646000
Yoshi Topsy-Turvy,GBA,2004,Platform,Ninti,253000,91000,305000,10000,5.9,23,6.6,5,Artoon,E,6.025,659000
Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,316000,251000,0,79000,4.6,11,5.9,6,Ubisoft,T,5.058823529,646000
Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,345000,221000,0,101000,8.1,34,7.2,9,EA Tiburon,E,7.911627907,667000
Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,418000,131000,0,98000,8.5,51,7.7,192,NetherRealm Studios,M,7.867901235,647000
Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,356000,231000,0,70000,8.5,41,7.7,29,EA Tiburon,E,8.168571429,657000
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Ninti,469000,171000,0,10000,9.0,34,9.5,97,Intelligent Systems,E,9.370229008,650000
Wario: Master of Disguise,DS,2007,Platform,Ninti,280000,20000,329000,31000,6.1,35,7.3,19,Suzak,E10+,6.522222222,660000
The Last Story,Weii,2011,Role-Playing,Ninti,295000,132000,177000,41000,8.1,61,8.3,179,"Mistwalker, Artoon",T,8.249166667,645000
Drakengard,PS2,2003,Role-Playing,Square Enix,190000,148000,262000,49000,6.4,55,9.2,88,Cavia Inc.,M,8.123076923,649000
Harry Potter and the Goblet of Fire,PS2,2005,Action,Electronic Arts,542000,20000,0,90000,6.8,29,6.7,48,Electronic Arts,E10+,6.737662338,652000
Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,393000,198000,0,60000,7.9,51,7.0,20,EA Tiburon,E,7.646478873,651000
007: Quantum of Solace,Weii,2008,Action,Activision,291000,280000,10000,70000,5.5,11,7.6,26,Treyarch,T,6.975675676,651000
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,30000,572000,0,40000,6.4,5,7.9,20,Giants Software,E,7.6,642000
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,317000,161000,10000,148000,6.4,31,7.7,358,Iron Galaxy Studios,M,7.596401028,636000
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,Vivendi Games,455000,167000,0,10000,6.8,23,6.7,12,Vicarious Visions,E,6.765714286,632000
Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,217000,375000,0,49000,8.4,10,7.6,1470,Ubisoft,M,7.605405405,641000
Need For Speed: Undercover,Weii,2008,Racing,Electronic Arts,273000,308000,0,69000,5.4,12,6.2,29,Exient Entertainment,T,5.965853659,650000
Spyro: A Hero's Tail,PS2,2004,Platform,Vivendi Games,316000,247000,0,82000,6.1,16,8.1,44,Eurocom Entertainment Software,E,7.566666667,645000
Crash: Twinsanity,PS2,2004,Platform,Vivendi Games,324000,248000,0,79000,6.4,38,8.0,129,Traveller's Tales,E,7.635928144,651000
The LEGO Movie Videogame,WeiiU,2014,Action,Warner Bros. Interactive Entertainment,336000,231000,30000,49000,6.8,5,7.7,25,TT Games,E10+,7.55,646000
