name	platform	year_of_release	genre	publisher	na_sales	eu_sales	jp_sales	other_sales	critic_score	critic_count	user_score	user_count	developer	rating	popularity score							
Sonic Generations	PS3	2011	Platform	Sega	603000	677000	20000	255000	7.7	38	8.3	253	Sega	E	8.221649485							
Spyro 2: Season of Flame	GBA	2002	Platform	Vivendi Games	841000	637000	0	79000	7.6	18	7.5	13	Digital Eclipse	E	7.558064516							
Marrison Party 10	WeiiU	2015	Misc	Ninti	683000	526000	236000	119000	6.5	66	6.6	279	Ninti, Nd Cube	E	6.580869565							
Devil May Cry 4	PS3	2008	Action	Capcom	588000	441000	338000	204000	8.3	63	8.1	311	Capcom	M	8.13368984							
Dead Rising 3	XOne	2013	Action	Microsoft Game Studios	1066000	346000	10000	148000	7.8	69	6.9	908	Capcom Vancouver	M	6.963561924							
NCAA Football 2002	PS2	2001	Sports	Electronic Arts	772000	593000	0	202000	9.2	18	8.5	24	EA Sports	E	8.8							
Gears of War: Judgment	X360	2013	Shooter	Microsoft Game Studios	927000	501000	30000	118000	7.9	81	5.3	779	Epic Games	M	5.544883721							
Watch Dogs	XOne	2014	Action	Ubisoft	893000	538000	0	140000	7.8	15	5.8	712	Ubisoft Montreal	M	5.841265475							
Guitar Hero: On Tour Decades	DS	2008	Misc	Activision	834000	576000	0	162000	7.1	40	8.1	5	Vicarious Visions	E10+	7.211111111							
Madden NFL 15	XOne	2014	Sports	Electronic Arts	1330000	92000	0	163000	7.9	19	6.5	138	EA Sports	E	6.669426752							
Marrison Party 7	GC	2005	Misc	Ninti	957000	109000	454000	41000	6.5	25	7.8	53	Hudson	E	7.383333333							
Dragon Quest V: Hand of the Heavenly Bride	DS	2008	Role-Playing	Square Enix	168000	20000	1361000	20000	8.5	46	8.4	57	ArtePiazza	E10+	8.444660194							
Smuggler's Run	PS2	2000	Racing	Take-Two Interactive	773000	596000	0	199000	7.8	21	6.8	18	Rockstar San Diego	T	7.338461538							
Fight Night Round 3	PS2	2006	Fighting	Electronic Arts	1069000	393000	0	102000	8.6	32	8	41	EA Chicago	T	8.263013699							
Need for Speed: Most Wanted	X360	2012	Racing	Electronic Arts	614000	778000	10000	149000	8.2	54	8.6	134	EA Canada	T	8.485106383							
Carnival Games: Mini Golf	Weii	2008	Sports	Take-Two Interactive	872000	545000	0	149000	3.8	10	5.7	7	Cat Daddy Games	E	4.582352941							
Pokemon Mystery Dungeon: Explorers of Sky	DS	2009	Role-Playing	Ninti	572000	422000	447000	118000	5.4	26	9.2	133	ChunSoft	E	8.578616352							
LEGO Pirates of the Caribbean: The Video Game	Weii	2011	Action	Disney Interactive Studios	720000	665000	0	150000	7.4	14	7.1	13	Traveller's Tales	E10+	7.255555556							
Stuntman	PS2	2002	Racing	Atari	774000	579000	0	197000	7	37	5.7	36	Reflections Interactive	T	6.35890411							
Tom Clancy's Rainbow Six 3	XB	2003	Shooter	Ubisoft	901000	576000	0	70000	8.6	39	8.5	31	Ubisoft	M	8.555714286							
LEGO Harry Potter: Years 1-4	X360	2010	Action	Warner Bros. Interactive Entertainment	946000	462000	0	142000	8	58	7.9	62	Traveller's Tales	E10+	7.948333333							
Spider-Man 2: Enter: Electro	PS	2001	Action	Activision	572000	861000	20000	89000	7.5	15	8.7	35	Vicarious Visions	E	8.34							
Guitar Hero 5	Weii	2009	Misc	Activision	934000	485000	0	148000	8.9	25	7	49	Vicarious Visions	T	7.641891892							
Wolfenstein: The New Order	PS4	2014	Shooter	Bethesda Softworks	463000	803000	29000	244000	7.9	73	8.1	1116	MachineGames	M	8.087720774							
Mafia II	X360	2010	Action	Take-Two Interactive	854000	544000	0	149000	7.4	79	7.7	458	2K Czech	M	7.655865922							
BioShock 2	PS3	2010	Shooter	Take-Two Interactive	836000	457000	20000	222000	8.8	62	8	492	2K Marin	M	8.089530686							
Dark Cloud	PS2	2000	Role-Playing	Sony Computer Entertainment	819000	440000	80000	191000	7.9	27	8.3	99	Level 5	T	8.214285714							
Warcraft III: The Frozen Throne	PC	2003	Strategy	Activision	573000	861000	0	91000	8.8	23	8.8	713	Blizzard Entertainment	T	8.8							
Active Life: Outdoor Challenge	Weii	2008	Sports	Atari	773000	433000	193000	141000	6.9	6	8.2	14	h.a.n.d. Inc.	E	7.81							
Tom Clancy's Ghost Recon Advanced Warfighter	X360	2006	Shooter	Ubisoft	1419000	20000	20000	101000	9	78	8.1	215	Ubisoft Paris	T	8.339590444							
MVP Baseball 2005	PS2	2005	Sports	Electronic Arts	1265000	70000	0	208000	8.6	25	8.7	47	EA Sports	E	8.665277778							
Uncharted: Golden Abyss	PSV	2011	Shooter	Sony Computer Entertainment	532000	657000	132000	218000	8.1	80	7.4	770	Naughty Dog, Sony Bend	T	7.465882353							
Go Vacation	Weii	2011	Misc	Namco Bandai Games	414000	653000	326000	138000	6.3	28	7.8	13	Namco Bandai Games	E10+	6.775609756							
Pro Evolution Soccer 2013	PS3	2012	Sports	Konami Digital Entertainment	182000	637000	487000	237000	8.1	37	6.6	146	Konami	E	6.903278689							
Dishonored	PS3	2012	Action	Bethesda Softworks	732000	528000	39000	251000	8.8	35	8.1	781	Arkane Studios	M	8.13002451							
Marrison Golf: Toadstool Tour	GC	2003	Sports	Ninti	1105000	151000	254000	41000	7.9	49	7.9	56	Camelot Software Planning	E	7.9							
Call of War: Black Ops II	PC	2012	Shooter	Activision	633000	690000	0	191000	7.5	11	4.2	1635	Treyarch	M	4.222053463							
Resident Evil: The Umbrella Chronicles	Weii	2007	Action	Capcom	665000	439000	292000	137000	7.4	47	7.5	122	Cavia Inc.	M	7.472189349							
The Simpsons Skateboarding	PS2	2002	Sports	Electronic Arts	363000	911000	0	266000	3.7	21	5.1	26	The Code Monkeys	T	4.474468085							
Donkey Kong Country: Tropical Freeze	WeiiU	2014	Platform	Ninti	694000	548000	158000	122000	8.4	77	8.9	712	Retro Studios	E	8.851204056							
Fight Night Round 4	PS3	2009	Fighting	Electronic Arts	924000	405000	0	200000	8.7	46	7.6	95	EA Canada	T	7.958865248							
Super Monkey Ball 2	GC	2002	Puzzle	Atari	1094000	308000	60000	40000	8.7	34	8.4	51	Amusement Vision	E	8.52							
Pac-Man World 2	PS2	2002	Action	Namco Bandai Games	1260000	50000	0	206000	7.2	19	7.8	26	Namco	E	7.546666667							
MySims Kingdom	Weii	2008	Simulation	Electronic Arts	694000	649000	10000	160000	7.6	19	8.1	24	EA Redwood Shores	E	7.879069767							
Dead Space 2	X360	2011	Shooter	Electronic Arts	933000	438000	0	131000	8.9	83	8.7	679	Visceral Games	M	8.721784777							
The Simpsons Game	PS2	2007	Action	Electronic Arts	357000	30000	0	1146000	6.9	10	8.2	27	Electronic Arts	T	7.848648649							
The Simpsons Game	DS	2007	Action	Electronic Arts	558000	782000	0	173000	7	17	7.2	18	Griptonite Games	T	7.102857143							
Football Manager 2012	PC	2011	Sports	Sega	20000	1150000	0	335000	8.3	45	8	172	Sports Interactive	E	8.062211982							
Ni no Kuni: Wrath of the White Witch	PS3	2011	Role-Playing	Namco Bandai Games	590000	465000	208000	230000	8.6	89	8.5	984	Level 5	E10+	8.508294501							
SoulCalibur II	GC	2003	Fighting	Namco Bandai Games	988000	317000	112000	80000	9.2	45	9	135	Namco	T	9.05							
Call of War 3	PS3	2006	Shooter	Activision	601000	613000	30000	256000	8.1	43	6.8	92	Treyarch	T	7.214074074							
Tokyo Xtreme Racer Zero	PS2	2000	Racing	Crave Entertainment	658000	522000	149000	173000	7.7	15	8.8	64	Genki	E	8.591139241							
Red Faction II	PS2	2002	Shooter	THQ	482000	774000	0	234000	8.4	30	8.2	35	Volition Inc.	M	8.292307692							
Madden NFL 2001	PS2	2000	Sports	Electronic Arts	1182000	71000	50000	196000	8.9	25	7.7	7	EA Sports	E	8.6375							
Star Wars: The Force Unleashed II	PS3	2010	Action	LucasArts	796000	498000	0	211000	6.3	41	6.8	121	LucasArts	T	6.67345679							
Final Fantasy: Crystal Chronicles	GC	2003	Role-Playing	Ninti	729000	387000	356000	40000	7.9	55	8	94	Square Enix	T	7.963087248							
Medal of Honor: Frontline	XB	2002	Shooter	Electronic Arts	1000000	425000	0	59000	8.2	18	6.9	23	EA LA	T	7.470731707							
Madden NFL 09	PS2	2008	Sports	Electronic Arts	1224000	0	0	271000	6.6	4	6.9	24	EA Tiburon	E	6.857142857							
Dead Rising 2	X360	2010	Action	Capcom	753000	522000	89000	120000	7.8	76	6.8	216	Blue Castle Games	M	7.060273973							
Mafia II	PS3	2010	Action	Take-Two Interactive	502000	685000	39000	260000	7.6	61	7.7	297	2K Czech	M	7.682960894							
Batman: Arkham Knight	XOne	2015	Action	Warner Bros. Interactive Entertainment	883000	475000	0	142000	8.7	16	6.5	694	Rocksteady Studios	M	6.549577465							
Dirge of Cerberus: Final Fantasy VII	PS2	2006	Shooter	Square Enix	473000	366000	513000	122000	5.7	51	7	103	Square Enix	T	6.569480519							
Sonic Rivals 2	PSP	2007	Racing	Sega	438000	678000	0	367000	6.1	24	7.8	35	Backbone Entertainment	E	7.108474576							
Resistance 3	PS3	2011	Shooter	Sony Computer Entertainment	633000	572000	50000	218000	8.3	91	7.9	543	Insomniac Games	M	7.957413249							
Drawn To Life: SpongeBob SquarePants Edition	DS	2008	Adventure	THQ	1000000	349000	0	129000	6.7	12	5.4	4	Altron	E	6.375							
007: Quantum of Solace	X360	2008	Action	Activision	825000	501000	10000	140000	6.6	69	7.1	71	Treyarch	T	6.853571429							
Major League Baseball 2K5	PS2	2005	Sports	Take-Two Interactive	719000	555000	0	191000	8.1	19	7.4	20	Kush Games	E	7.741025641							
Fight Night 2004	PS2	2004	Fighting	Electronic Arts	1066000	202000	0	202000	8.4	43	9.1	25	EA Sports	T	8.657352941							
LEGO Star Wars III: The Clone Wars	X360	2011	Action	LucasArts	827000	516000	0	128000	7.6	43	7.8	42	Traveller's Tales	E10+	7.698823529							
Tom Clancy's Splinter Cell: Pandora Tomorrow	XB	2004	Action	Ubisoft	816000	599000	0	70000	9.2	74	8.7	68	Ubisoft Shanghai	T	8.96056338							
Call of War Black Ops: Declassified	PSV	2012	Action	Activision	711000	434000	71000	259000	3.3	58	4.9	479	Nihilistic	M	4.727188082							
Tom Clancy's Ghost Recon: Future Soldier	X360	2012	Shooter	Ubisoft	919000	394000	20000	121000	7.8	75	7.3	334	Ubisoft Paris	M	7.391687042							
Fight Night Round 3	X360	2006	Fighting	Electronic Arts	1350000	30000	10000	101000	8.7	67	8.9	264	EA Chicago	T	8.859516616							
Super Scribblenauts	DS	2010	Puzzle	Warner Bros. Interactive Entertainment	1042000	295000	0	110000	8.2	53	8.2	46	5TH Cell	E10+	8.2							
Super Monkey Ball	GC	2001	Puzzle	Atari	942000	365000	101000	39000	8.7	28	8	46	Amusement Vision	E	8.264864865							
SoulCalibur IV	PS3	2008	Fighting	Ubisoft	708000	395000	139000	198000	8.6	65	7.9	129	Namco	T	8.134536082							
Marrison Superstar Baseball	GC	2005	Sports	Ninti	937000	236000	255000	40000	7.5	38	8.6	41	Namco	E	8.070886076							
Battlefield: Bad Company	X360	2008	Shooter	Electronic Arts	820000	461000	40000	150000	8.2	70	7.7	263	EA DICE	T	7.805105105							
Homefront	X360	2011	Shooter	THQ	814000	477000	20000	121000	7	85	6	399	Kaos Studios	M	6.175619835							
Onimusha 3: Demon Siege	PS2	2004	Action	Capcom	372000	464000	539000	70000	8.5	53	8.6	73	Capcom	M	8.557936508							
Red Dead Revolver	PS2	2004	Shooter	Take-Two Interactive	700000	549000	0	189000	7.3	42	7.9	70	Rockstar San Diego	M	7.675							
Resident Evil: Outbreak	PS2	2003	Action	Capcom	531000	347000	453000	101000	7.2	40	8.5	94	Capcom	M	8.111940299							
Mass Effect 2	PS3	2011	Role-Playing	Electronic Arts	779000	444000	30000	192000	9.4	62	8.4	1081	BioWare	M	8.45424322							
LEGO Battles: Ninjago	DS	2011	Strategy	Warner Bros. Interactive Entertainment	1020000	325000	0	110000	5.8	14	7	11	Hellbent Games	E	6.328							
NBA 2K14	PS4	2013	Sports	Take-Two Interactive	879000	311000	10000	231000	8.6	20	6.6	368	Visual Concepts	E	6.703092784							
SingStar Pop	PS2	2007	Misc	Sony Computer Entertainment	41000	1076000	0	326000	7.3	13	7.5	8	SCEE London Studio	E10+	7.376190476							
Disney Infinity	X360	2013	Action	Disney Interactive Studios	983000	339000	0	129000	7.5	38	6.6	79	Avalanche Software	E10+	6.892307692							
My Word Coach	DS	2007	Misc	Ubisoft	371000	907000	0	180000	7.1	7	6.8	5	Ubisoft	E	6.975							
Tiger Woods PGA Tour 2005	PS2	2004	Sports	Electronic Arts	1044000	322000	0	89000	8.7	30	8.2	20	EA Sports	E	8.5							
NCAA Football 2003	PS2	2002	Sports	Electronic Arts	1170000	81000	0	192000	9.3	19	8.6	27	EA Sports	E	8.889130435							
Star Wars: The Force Unleashed II	X360	2010	Action	LucasArts	963000	376000	0	110000	6.1	59	5.8	180	LucasArts	T	5.874058577							
WWE SmackDown vs Raw 2008	X360	2007	Fighting	THQ	912000	378000	0	128000	7.2	41	6.8	48	Yuke's	T	6.984269663							
Kinect Joy Ride	X360	2010	Racing	Microsoft Game Studios	926000	395000	0	119000	5.3	46	5.1	20	BigPark	E	5.239393939							
Smarty Pants	Weii	2007	Misc	Electronic Arts	514000	739000	0	161000	6.5	26	7.6	10	Planet Moon Studios	E	6.805555556							
Classic NES Series: Super Marrison Bros.	GBA	2004	Platform	Ninti	0	0	1413000	31000	8.4	14	8.6	44	Ninti	E	8.551724138							
Anno 2070	PC	2011	Strategy	Ubisoft	0	1134000	0	288000	8.2	33	7	493	Blue Byte, Related Designs	T	7.075285171							
Hasbro Family Game Night	Weii	2008	Puzzle	Electronic Arts	968000	333000	0	132000	6.3	12	7.6	11	EA Bright Light	E	6.92173913							
Sonic Rivals	PSP	2006	Racing	Sega	744000	422000	0	275000	6.4	25	7.9	38	Backbone Entertainment	E	7.304761905							
BioShock	PS3	2008	Shooter	Take-Two Interactive	761000	453000	10000	202000	9.6	51	8.8	881	Digital Extremes, 2K Marin	M	8.843776824							
Mass Effect 3	PS3	2012	Role-Playing	Electronic Arts	628000	551000	29000	200000	9.2	30	5.5	1849	BioWare	M	5.559073976							
Cabela's Big Game Hunter	PS2	2002	Sports	Activision	690000	548000	0	177000	6	7	7.9	12	Sand Grain Studios	T	7.2							
SimCity (2013)	PC	2013	Simulation	Electronic Arts	481000	781000	0	168000	6.5	75	2.2	4572	Maxis	E10+	2.269399613							
The Legend of Zelda: The Minish Cap	GBA	2004	Action	Ninti	886000	221000	221000	100000	9	56	9.1	203	Flagship	E	9.078378378							
NFL Street	PS2	2004	Sports	Electronic Arts	1169000	79000	0	187000	7.9	36	9.1	45	EA Tiburon	E	8.566666667							
Dead Space 2	PS3	2011	Shooter	Electronic Arts	723000	481000	0	210000	8.8	78	8.2	535	Visceral Games	M	8.27634584							
Tiger Woods PGA Tour 09 All-Play	Weii	2008	Sports	Electronic Arts	802000	470000	0	139000	8.2	18	8.6	34	EA Tiburon	E	8.461538462							
Metal Gear Rising: Revengeance	PS3	2013	Action	Konami Digital Entertainment	442000	373000	446000	162000	7.8	61	7.8	746	PlatinumGames	M	7.8							
Rayman Raving Rabbids	Weii	2006	Misc	Ubisoft	1244000	59000	20000	111000	7.5	54	7.8	116	Ubisoft Montpellier	E	7.704705882							
Dragon Quest Monsters: Joker 2	DS	2010	Role-Playing	Square Enix	90000	71000	1222000	20000	7.8	33	7.4	15	TOSE	E	7.675							
UFC Undisputed 2010	PS3	2010	Fighting	THQ	795000	404000	20000	183000	8.6	54	7.1	48	Yuke's	T	7.894117647							
Medal of Honor: Warfighter	PS3	2012	Action	Electronic Arts	477000	628000	60000	258000	5.5	22	6	250	Danger Close	M	5.959558824							
Sonic's Ultimate Genesis Collection	X360	2009	Misc	Sega	865000	429000	0	128000	7.9	45	8.5	40	Backbone Entertainment	E10+	8.182352941							
Diablo III	X360	2013	Role-Playing	Activision	900000	384000	0	120000	8.7	42	6.7	384	Blizzard Entertainment	M	6.897183099							
Twisted Metal: Black	PS2	2001	Racing	Sony Computer Entertainment	1191000	170000	0	50000	9.2	15	8.2	98	Incognito Inc.	M	8.332743363							
NASCAR 2005: Chase for the Cup	PS2	2004	Racing	Electronic Arts	697000	541000	0	178000	8.5	19	8.4	15	EA Tiburon	E	8.455882353							
Fight Night Round 4	X360	2009	Fighting	Electronic Arts	959000	332000	0	129000	8.6	76	8.1	86	EA Canada	T	8.334567901							
Spider-Man: The Movie	XB	2002	Action	Activision	1088000	280000	0	49000	7.8	29	7.4	11	Treyarch	E	7.69							
LEGO Star Wars II: The Original Trilogy	PSP	2006	Action	LucasArts	587000	509000	0	315000	8.2	11	8.5	26	Traveller's Tales	E10+	8.410810811							
Dead Space	X360	2008	Action	Electronic Arts	879000	397000	0	128000	9.1	79	8.7	768	EA Redwood Shores	M	8.737308146							
LEGO Indiana Jones 2: The Adventure Continues	Weii	2009	Action	Activision	886000	383000	0	118000	7.2	13	6.1	14	Traveller's Tales	E10+	6.62962963							
Ridge Racer	PSP	2004	Racing	Sony Computer Entertainment	362000	433000	320000	272000	8.9	58	8.1	65	Namco	E	8.477235772							
Sonic Advance 3	GBA	2004	Platform	THQ	740000	524000	80000	61000	7.8	30	8.5	34	Dimps Corporation	E	8.171875							
Colin McRae Rally 3	PS2	2002	Racing	Codemasters	31000	1031000	20000	303000	8.6	25	7.7	24	Codemasters	E	8.159183673							
Forza Horizon 2	XOne	2014	Racing	Microsoft Game Studios	499000	784000	10000	109000	8.7	85	8.2	977	Playground Games	E10+	8.240018832							
Madden NFL 2002	PS	2001	Sports	Electronic Arts	772000	527000	0	91000	8.9	9	8.1	7	EA Sports	E	8.55							
Dynasty Warriors 5	PS2	2005	Action	Tecmo Koei	242000	183000	919000	60000	7	29	8.7	68	Omega Force	T	8.191752577							
Injustice: Gods Among Us	X360	2013	Fighting	Warner Bros. Interactive Entertainment	976000	296000	0	109000	8.1	63	7.8	362	NetherRealm Studios	T	7.844470588							
Far Cry 2	PS3	2008	Action	Ubisoft	425000	704000	10000	264000	8.4	49	6.4	241	Ubisoft Montreal	M	6.737931034							
Yoshi's New Island	3DS	2014	Platform	Ninti	474000	540000	280000	89000	6.3	71	6.1	155	Arzest	E	6.162831858							
True Crime: Streets of LA	XB	2003	Action	Activision	977000	364000	0	49000	7.8	39	7.9	28	Luxoflux, Inc.	M	7.841791045							
Ryse: Son of Rome	XOne	2013	Action	Microsoft Game Studios	827000	437000	0	131000	6	77	6.2	1409	Crytek	M	6.189636608							
Mortal Kombat X	XOne	2015	Fighting	Warner Bros. Interactive Entertainment	1013000	211000	0	142000	8.6	21	7.3	279	Warner Bros. Interactive Entertainment, NetherRealm Studios	M	7.391							
Rise of the Tomb Raider	XOne	2015	Adventure	Square Enix	548000	694000	20000	111000	8.6	102	8.1	1288	Crystal Dynamics	M	8.136690647							
Sonic Generations	X360	2011	Platform	Sega	723000	529000	0	130000	7.6	49	8.3	340	Sega, Sonic Team	E	8.211825193							
Dave Mirra Freestyle BMX 2	PS2	2001	Sports	Acclaim Entertainment	680000	539000	0	184000	8.2	21	8	18	Z-Axis, Ltd.	T	8.107692308							
Bakugan: Battle Brawlers	DS	2009	Action	Activision	1268000	20000	0	99000	5.9	6	6.7	7	Now Production	E	6.330769231							
LEGO Indiana Jones: The Original Adventures	PS2	2008	Action	LucasArts	609000	10000	0	767000	7.6	12	8.4	16	Traveller's Tales	E10+	8.057142857							
Deus Ex: Human Revolution	X360	2011	Shooter	Square Enix	759000	463000	20000	119000	8.9	70	8.3	684	Eidos Montreal	M	8.355702918							
Final Fantasy XII: Revenant Wings	DS	2007	Role-Playing	Square Enix	335000	417000	539000	99000	8.1	44	6	60	Square Enix, Think and Feel	E10+	6.888461538							
Call of War: Black Ops	Weii	2010	Shooter	Activision	811000	441000	0	119000	8.1	25	5.9	87	Treyarch	M	6.391071429							
Deus Ex: Human Revolution	PS3	2011	Shooter	Square Enix	502000	586000	69000	223000	8.9	50	8.1	682	Eidos Montreal	M	8.154644809							
Star Wars Knights of the Old Republic II: The Sith Lords	XB	2004	Role-Playing	Activision	982000	331000	0	50000	8.6	67	8.6	140	Obsidian Entertainment	T	8.6							
The Sims 2	PSP	2005	Simulation	Electronic Arts	490000	545000	0	331000	6.6	17	6.8	32	Maxis	T	6.730612245							
Dead Rising 2	PS3	2010	Action	Capcom	427000	570000	147000	212000	8	54	6.7	178	Blue Castle Games	M	7.002586207							
Ridge Racer 7	PS3	2006	Racing	Namco Bandai Games	239000	712000	161000	265000	7.9	45	7	52	Namco Bandai Games	E	7.417525773							
Tom Clancy's Ghost Recon 2	XB	2004	Shooter	Ubisoft	872000	447000	0	60000	7.8	53	8.7	58	Red Storm Entertainment	T	8.27027027							
Need for Speed: The Run	X360	2011	Action	Electronic Arts	626000	578000	0	151000	6.9	65	6	160	Black Box	T	6.26							
Crash Bandicoot 2: N-Tranced	GBA	2003	Platform	Vivendi Games	638000	656000	0	71000	7.5	21	7.8	30	Vicarious Visions	E	7.676470588							
Titanfall	X360	2014	Shooter	Electronic Arts	874000	339000	20000	130000	8.1	21	5.9	371	Bluepoint Games	M	6.017857143							
Dead to Rights	PS2	2002	Shooter	Electronic Arts	681000	526000	0	167000	7.2	20	9	36	Namco	M	8.357142857							
WWE '13	PS3	2012	Action	THQ	519000	610000	0	253000	7.7	24	8.2	99	THQ	T	8.102439024							
Hasbro Family Game Night 2	Weii	2009	Misc	Electronic Arts	704000	529000	0	130000	6.4	16	6.4	6	Electronic Arts	E	6.4							
Gardening Mama	DS	2009	Puzzle	505 Games	801000	427000	10000	131000	6.1	17	9.4	4	Taito Corporation	E	6.728571429							
Burnout Paradise	X360	2008	Racing	Electronic Arts	630000	564000	10000	138000	8.7	68	6.8	279	Criterion Games	E10+	7.172334294							
Middle-Earth: Shadow of Mordor	XOne	2014	Action	Warner Bros. Interactive Entertainment	718000	492000	10000	121000	8.8	12	8	585	Monolith Productions	M	8.016080402							
MotorStorm: Pacific Rift	PS3	2008	Racing	Sony Computer Entertainment	428000	644000	20000	245000	8.2	63	8	318	Evolution Studios	T	8.033070866							
Samurai Warriors	PS2	2004	Action	Electronic Arts	223000	49000	1061000	20000	7.2	37	8.7	23	Omega Force	T	7.775							
Battlefield 4	PC	2013	Shooter	Electronic Arts	385000	867000	0	101000	8.2	52	5.9	3517	EA DICE	M	5.933510787							
Gears of War 4	XOne	2016	Shooter	Microsoft Game Studios	793000	446000	0	120000	8.5	96	6.2	815	The Coalition	M	6.442371021							
FIFA Soccer 08	PSP	2007	Sports	Electronic Arts	198000	758000	0	391000	7.9	7	7.4	15	EA Canada	E	7.559090909							
FIFA Soccer 09	PSP	2008	Sports	Electronic Arts	229000	716000	20000	373000	8.3	8	8.9	21	EA Canada	E	8.734482759							
FIFA Soccer 08	X360	2007	Sports	Electronic Arts	306000	873000	10000	139000	8.1	43	7.9	57	EA Canada	E	7.986							
Test Drive	PS2	2002	Racing	Atari	938000	206000	10000	178000	7.2	19	7.3	23	Pitbull Syndicate	T	7.254761905							
Devil May Cry 4	X360	2008	Action	Capcom	789000	347000	79000	131000	8.3	61	8	248	Capcom	M	8.059223301							
Tom Clancy's Rainbow Six: Vegas 2	PS3	2008	Shooter	Ubisoft	672000	449000	40000	211000	8.3	32	8	93	Ubisoft Montreal	M	8.0768							
Metroid: Other M	Weii	2010	Action	Ninti	865000	267000	128000	98000	8	71	6.6	482	Team Ninja	T	6.779746835							
Crysis 2	X360	2011	Action	Electronic Arts	708000	483000	20000	122000	8.3	72	7.4	533	Crytek	M	7.507107438							
Chrono Trigger	DS	2008	Role-Playing	Square Enix	621000	160000	483000	81000	9.2	57	8.9	440	TOSE	E10+	8.934406439							
Marvel vs. Capcom 3: Fate of Two Worlds	PS3	2011	Fighting	Capcom	810000	280000	110000	139000	8.4	56	7.3	147	Capcom	T	7.603448276							
Doom 3	XB	2005	Shooter	Activision	858000	422000	0	61000	8.9	71	7.4	116	Vicarious Visions	M	7.969518717							
Tom Clancy's Rainbow Six: Siege	XOne	2015	Shooter	Ubisoft	783000	453000	0	118000	7.3	24	6.9	252	Ubisoft Montreal	M	6.934782609							
F1 2010	PS3	2010	Racing	Codemasters	254000	743000	79000	258000	8.3	46	7.7	83	Codemasters Birmingham	E	7.913953488							
Monster Hunter Freedom	PSP	2005	Role-Playing	Capcom	236000	30000	1011000	40000	7.1	34	8.6	78	Capcom	T	8.144642857							
Donkey Kong Jungle Beat	GC	2004	Platform	Ninti	844000	224000	241000	40000	8	49	8.4	30	Ninti	E10+	8.151898734							
Need for Speed Carbon	PS2	2006	Racing	Electronic Arts	1220000	49000	50000	10000	7.3	26	8.5	60	EA Canada	E10+	8.137209302							
Lost Planet: Extreme Condition	X360	2006	Shooter	Capcom	1074000	40000	102000	101000	7.8	76	7.1	187	Capcom	T	7.302281369							
Max Payne 2: The Fall of Max Payne	PS2	2003	Shooter	Take-Two Interactive	663000	512000	0	173000	7.2	27	8.3	63	Rockstar Vienna	M	7.97							
Battlefield: Bad Company	PS3	2008	Shooter	Electronic Arts	747000	344000	49000	182000	8.5	50	8.1	203	EA DICE	T	8.179051383							
MVP Baseball 2004	PS2	2004	Sports	Electronic Arts	1119000	60000	0	183000	8.9	28	8.6	51	EA Sports	E	8.706329114							
Alan Wake	X360	2010	Action	Microsoft Game Studios	665000	508000	49000	130000	8.1	100	8.1	1156	Remedy Entertainment	T	8.1							
Metroid Prime 2: Echoes	GC	2004	Shooter	Ninti	863000	356000	69000	40000	9.3	60	8.8	279	Retro Studios	T	8.888495575							
WWE SmackDown vs Raw 2008	PS3	2007	Fighting	THQ	613000	489000	10000	199000	7.5	27	7.3	41	Yuke's	T	7.379411765							
Skylanders SWAP Force	X360	2013	Platform	Activision	855000	341000	0	122000	8.2	37	5.7	45	Vicarious Visions	E10+	6.82804878							
Grand Steal Auto: Chinatown Wars	DS	2009	Action	Take-Two Interactive	578000	567000	49000	140000	9.4	85	8.2	280	Rockstar Leeds	M	8.479452055							
UFC Undisputed 2010	X360	2010	Fighting	THQ	915000	311000	0	112000	8.5	70	6.8	80	Yuke's	T	7.593333333							
World of Warcraft: Wrath of the Lich King	PC	2008	Role-Playing	Activision	10000	129000	0	1161000	8.9	47	7.4	930	Blizzard Entertainment	T	7.472159672							
NFL 2K3	PS2	2002	Sports	Atari	1074000	80000	0	178000	9.4	20	7.3	25	Visual Concepts	E	8.233333333							
Assassin's Creed III: Liberation	PSV	2012	Action	Ubisoft	531000	484000	61000	244000	7.1	71	7.1	318	Ubisoft	M	7.1							
Your Shape: Fitness Evolved	X360	2010	Sports	Ubisoft	799000	411000	0	110000	7.3	32	7.5	25	Ubisoft Montreal	E	7.387719298							
Need for Speed Underground Rivals	PSP	2005	Racing	Electronic Arts	694000	376000	20000	244000	7.5	36	8.6	38	Team Fusion	E	8.064864865							
Rage	PS3	2011	Shooter	Bethesda Softworks	477000	586000	59000	203000	8.2	37	6.1	353	id Software	M	6.299230769							
LEGO Harry Potter: Years 1-4	PS3	2010	Action	Warner Bros. Interactive Entertainment	554000	559000	0	208000	7.9	42	7.9	52	Traveller's Tales	E10+	7.9							
Madagascar	PS2	2005	Platform	Activision	790000	458000	0	71000	6.9	25	7.5	25	Toys for Bob	E10+	7.2							
The Witcher 3: Wild Hunt	XOne	2015	Role-Playing	Namco Bandai Games	680000	502000	0	109000	9.2	13	9.2	3963	CD Projekt Red Studio	M	9.2							
Turok: Evolution	PS2	2002	Shooter	Acclaim Entertainment	641000	507000	0	173000	6	20	7.2	27	Acclaim	M	6.689361702							
[Prototype]	X360	2009	Action	Activision	855000	354000	0	120000	7.7	83	7.8	356	Radical Entertainment	M	7.781093394							
